target_period,actual_monthly,gbm_nowcast
2024-03-01,1.00938516188575,0.5571256523589337
2024-04-01,-0.0516715997229469,1.0063258887260054
2024-05-01,-0.0907064485030323,-0.05385482758318199
2024-06-01,0.121741927959431,-0.08836894276509225
2024-07-01,0.236268738691571,0.12140660400699659
2024-08-01,0.284170528141876,0.23168714106728502
2024-09-01,-0.237560474773851,0.2846205697236064
2024-10-01,-0.0931035230159262,-0.2353356247370169
2024-11-01,0.0941530377317251,-0.09362078978695763
2024-12-01,0.105667996950954,0.09077953501670949
2025-01-01,-0.0933179134509413,0.10649882234371584
2025-02-01,0.188012094871704,-0.093728952928609
2025-03-01,0.810159321766145,0.18748770325113492
2025-04-01,0.31806633832046,0.8075801742575802
2025-05-01,-0.0564746187563057,0.31803786248681815
2025-06-01,0.128679643778829,-0.055809909851999503
2025-07-01,0.231431002364371,0.1295767846266233
2025-08-01,-0.29025398690341,0.2293955870655958
2025-09-01,0.0111517897177685,-0.2894964475355646
2025-10-01,-0.0996274056654658,0.011198593648349678
2025-11-01,0.110781919406383,-0.10047907565185275
2025-12-01,0.244108583947482,0.109085303536983
2026-01-01,0.0957671016980487,0.24498674756764716
2026-02-01,0.694,0.09220677812501636
2026-03-01,2.38,0.6948481846426423
