eval_date,target_period,actual,dfm_nowcast,dfm_error,ar1_nowcast,ar1_error,rw_nowcast,rw_error
2010-03-17,2010-01-01,5.65370163614461,4.8528462217057795,-0.8008554144388302,3.369792279982037,-2.2839093561625727,2.7282531215877,-2.92544851455691
2010-06-15,2010-04-01,9.47269044351427,6.32079044147777,-3.151900002036501,5.839083025547027,-3.6336074179672435,5.65370163614461,-3.818988807369661
2010-09-14,2010-07-01,9.50927026910191,7.247419906058375,-2.2618503630435347,8.895637987511366,-0.6136322815905437,9.47269044351427,-0.03657982558763884
2010-12-15,2010-10-01,8.50473559019883,7.566768587996004,-0.9379670022028268,8.971546258282,0.46681066808316984,9.50927026910191,1.0045346789030791
2011-03-17,2011-01-01,8.41400516195376,7.6323283853863515,-0.7816767765674086,8.170843725962127,-0.24316143599163276,8.50473559019883,0.09073042824507027
2011-06-15,2011-04-01,5.28521198570649,7.133325577316571,1.8481135916100806,8.113703704858576,2.828491719152086,8.41400516195376,3.12879317624727
2011-09-14,2011-07-01,5.81169330810113,6.902322832284809,1.0906295241836785,5.648562498026143,-0.1631308100749873,5.28521198570649,-0.5264813223946403
2011-12-15,2011-10-01,6.01369887441975,6.028976773054497,0.015277898634747267,6.047136138826412,0.03343726440666206,5.81169330810113,-0.20200556631861932
2012-03-16,2012-01-01,6.11062611583109,6.2555002492131,0.14487413338201005,6.196456631989617,0.08583051615852622,6.01369887441975,-0.09692724141134068
2012-06-15,2012-04-01,5.89360478029052,5.675728877632132,-0.2178759026583883,6.26590188155586,0.37229710126533977,6.11062611583109,0.21702133554057035
2012-09-14,2012-07-01,7.02053164978672,6.256334477099727,-0.7641971726869929,6.092572575681566,-0.9279590741051535,5.89360478029052,-1.1269268694961996
2012-12-15,2012-10-01,5.55751904870401,6.568354582403606,1.0108355336995958,6.9590095971204065,1.4014905484163966,7.02053164978672,1.4630126010827098
2013-03-17,2013-01-01,4.97843548901329,6.523196002201288,1.544760513187998,5.833791889856814,0.8553564008435242,5.55751904870401,0.5790835596907202
2013-06-15,2013-04-01,6.26450770587881,6.29375259328131,0.029244887402500197,5.376520116259231,-0.8879875896195788,4.97843548901329,-1.28607221686552
2013-09-14,2013-07-01,5.22669060208862,5.072200000578023,-0.1544906015105978,6.358001669928132,1.131311067839512,6.26450770587881,1.0378171037901893
2013-12-15,2013-10-01,6.84400833971523,5.452468538997542,-1.3915398007176876,5.5604226398020895,-1.2835856999131403,5.22669060208862,-1.6173177376266095
2014-03-17,2014-01-01,4.95524713283023,5.651470019373649,0.6962228865434188,6.787229402203765,1.831982269373535,6.84400833971523,1.8887612068849995
2014-06-15,2014-04-01,1.9592408029879,6.029342115211291,4.070101312223391,5.359150147804527,3.3999093448166273,4.95524713283023,2.9960063298423303
2014-09-14,2014-07-01,1.82298802207645,4.977045543258439,3.1540575211819886,3.0063698202195144,1.1833817981430643,1.9592408029879,0.13625278091145
