event,t,dir,months,n_post,M_minus,M_plus,M_plus_lo,M_plus_hi,M_minus_lo,M_minus_hi,dMZ,dEZ,dEZ_lo,dEZ_hi,descriptive_only
A,-12,445_trim_mar_abr_may15,"['2015-03', '2015-04', '2015-05']",0,0.018438404125722833,0.9136156505590042,0.6187726585422434,1.71806252671762,0.01669142929540223,0.5496922601467938,1.2642977244466116,-0.1834550059952918,-1.1450567870980652,0.8899784179089947,False
A,-11,448_trim_abr_may_jun15,"['2015-04', '2015-05', '2015-06']",0,0.38518887134153157,0.6595084896410489,0.4757764682833704,1.8519112947573364,0.13901993414335387,1.0035978425752194,0.5964412822098668,0.49846901991870035,-0.47271046663241395,1.538917185449154,False
A,-10,450_trim_may_jun_jul15,"['2015-05', '2015-06', '2015-07']",0,0.12598188063660765,0.9015801181052676,0.5957197321381338,1.9608693722235546,0.08895099055030474,0.7613236360317184,0.5595577171268341,0.6754892210435623,-0.27370514931692536,1.5758833946547006,False
A,-9,453_trim_jun_jul_ago15,"['2015-06', '2015-07', '2015-08']",0,0.22282267061327846,0.9605011622984254,0.5570650070573518,1.8477526899226278,0.12496057106366533,0.795161424961542,0.3841986552759862,0.4089872221423468,-0.41576134777627993,1.276622248298444,False
A,-8,457_trim_jul_ago_set15,"['2015-07', '2015-08', '2015-09']",0,0.2657165283021063,0.9294347850888383,0.5412243330505917,1.8649819817268494,0.11328220958640092,0.8807505391514193,0.33422479468464455,0.3980491190326941,-0.4159042501698483,1.2720278803614125,False
A,-7,483_trim_ago_set_oct15,"['2015-08', '2015-09', '2015-10']",0,0.5381845838126925,0.3993979567643074,0.3061340955709407,1.3312453373770683,0.24294322527012294,1.1594352695646508,0.12306811766587865,0.09252493041120192,-0.725223578180123,0.8886870577695379,False
A,-6,485_trim_set_oct_nov15,"['2015-09', '2015-10', '2015-11']",0,0.6258685942348391,0.14449543121280256,0.061668374163327565,0.7784702235571512,0.32282171244366165,1.3770545613927385,-0.34657324084600594,-1.10617799513888,-1.9032268709485003,-0.2552679781810617,False
A,-5,486_trim_oct_nov_dic15,"['2015-10', '2015-11', '2015-12']",0,0.5935885396499394,0.12940541473822234,0.08685237591171316,0.8243364283275394,0.406790537337311,1.4201523554587927,-0.48571413959512444,-0.9660602467025263,-1.8292743752599037,-0.04749889755509817,False
A,-4,488_trim_nov_dic_ene_16,"['2015-11', '2015-12', '2016-01']",0,0.8441553831558566,0.4354483474894171,0.22407108869134107,1.3002595818745892,0.5236882627870013,1.6204910983316139,-0.7188977185155102,-0.20857017984360765,-1.1205272000609299,0.6555910293248303,False
A,-3,493_trim_dic_ene_feb16,"['2015-12', '2016-01', '2016-02']",0,0.6025407325238483,0.7844031294636357,0.49228269029867705,1.794325117078793,0.34025804377421415,1.3638681510358184,-0.4280846388074486,0.4874716445566606,-0.4815561909828935,1.4304109035640928,False
A,-2,496_trim_ene_feb_mar16,"['2016-01', '2016-02', '2016-03']",0,0.5486138670156658,0.4812322721660745,0.35452248109606926,1.5289794302840387,0.3684645831948573,1.4389299018787673,-0.4125401743295397,0.06895296531888175,-0.9285400814234304,1.0301455140574058,False
A,-1,501_trim_feb_mar_abr16,"['2016-02', '2016-03', '2016-04']",0,0.8982288807706172,0.38331616242292865,0.3161237837547854,1.5784974489232282,0.5376203920992658,1.856901695363447,-0.8699041360930464,-0.16559820227357488,-1.1703993360168816,0.9097512421781914,False
A,0,509_trim_mar_abr_may16,"['2016-03', '2016-04', '2016-05']",1,1.248777919623623,0.6428476968609842,0.3441674530986769,1.8748124074982724,0.828595392785334,2.3448370034324992,-1.1396602546407326,-0.4125789403300318,-1.7055611151785177,0.8200052211866078,False
A,1,514_trim_abr_may_jun16,"['2016-04', '2016-05', '2016-06']",2,2.579509961352396,1.5398502479245477,1.115571435086503,2.795274645798312,1.8946127572968277,3.5396063810807634,-2.4034682796639433,0.43137642447316477,-0.8014813931334495,1.710207658642437,False
A,2,519_trim_may_jun_jul16,"['2016-05', '2016-06', '2016-07']",3,3.7268052013613913,2.4079145727968947,1.8847527639441208,3.5980122727298336,3.0029393497982504,4.666896777004146,-3.309428442170248,0.8211498157011592,-0.4065020851279296,2.1397798309767535,False
A,3,527_trim_jun_jul_ago16,"['2016-06', '2016-07', '2016-08']",3,5.59048233929027,3.7023238020599267,2.994755533389402,4.955912041563901,4.8716871952971115,6.452295847241617,-5.214745490899288,2.1915688902145978,0.79910338937878,3.557860132338447,False
A,4,531_trim_jul_ago_set16,"['2016-07', '2016-08', '2016-09']",3,6.236625283308284,4.022943125051308,3.2839716042781806,5.248850988790586,5.546836546898663,7.074008067213635,-5.833555933559804,2.0508654393282564,0.6581576198084731,3.4866565137693657,False
