dir,survey,period,file,status,n_vars,concept,candidate_variables
84_epe_personas_trim_ene_feb_mar_2003,EPE,2003-01,Epe-Personas Trim Ene-Feb-Mar 2003.csv,ok,94,psu,conglome
84_epe_personas_trim_ene_feb_mar_2003,EPE,2003-01,Epe-Personas Trim Ene-Feb-Mar 2003.csv,ok,94,stratum,estrato
84_epe_personas_trim_ene_feb_mar_2003,EPE,2003-01,Epe-Personas Trim Ene-Feb-Mar 2003.csv,ok,94,geography,dominio
84_epe_personas_trim_ene_feb_mar_2003,EPE,2003-01,Epe-Personas Trim Ene-Feb-Mar 2003.csv,ok,94,month_year,
84_epe_personas_trim_ene_feb_mar_2003,EPE,2003-01,Epe-Personas Trim Ene-Feb-Mar 2003.csv,ok,94,industry,
84_epe_personas_trim_ene_feb_mar_2003,EPE,2003-01,Epe-Personas Trim Ene-Feb-Mar 2003.csv,ok,94,occupation,
84_epe_personas_trim_ene_feb_mar_2003,EPE,2003-01,Epe-Personas Trim Ene-Feb-Mar 2003.csv,ok,94,household_id,vivienda|hogar
84_epe_personas_trim_ene_feb_mar_2003,EPE,2003-01,Epe-Personas Trim Ene-Feb-Mar 2003.csv,ok,94,person_id,codperso
84_epe_personas_trim_ene_feb_mar_2003,EPE,2003-01,Epe-Personas Trim Ene-Feb-Mar 2003.csv,ok,94,panel_rotation,
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,employment_indicator,ocu200
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,age,p208b1|p208b2|p208b3
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,sex,p207a|p207b
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,dependent_worker,
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,self_employment,
