district_ubigeo,department_code,year,ntl_weight,ntl_sum,poverty_rate_nowcast
010101,01,2025,0.012406658966840008,0.021263573874889963,0.2477410235054465
010102,01,2025,0.0008366658780588403,0.3661620750855864,0.016706871811047592
010103,01,2025,0.019114642346548673,0.013750449690238508,0.38168866183323896
010104,01,2025,0.02623473317041743,0.0,0.5238654229476989
010105,01,2025,0.002183422214260935,0.1269979276857176,0.04359942959271219
010106,01,2025,0.010165392944683344,0.02601226750951614,0.20298654611059502
010107,01,2025,0.0002961093396510536,1.4147135962110422,0.00591282722211864
010108,01,2025,0.02623473317041743,0.0020310825857765232,0.5238654229476989
010109,01,2025,0.008962911271756333,0.029553221331702337,0.1789749212893031
010110,01,2025,0.006628475186954637,0.040168013139204546,0.13235998760711112
010111,01,2025,0.02623473317041743,0.008234281190402844,0.5238654229476989
010112,01,2025,0.020624289045583458,0.01273756888702441,0.4118338781521618
010113,01,2025,0.003162611310126838,0.08604291690293178,0.06315226081532928
010114,01,2025,0.0028173953520376246,0.09708259550862293,0.05625885341080399
010115,01,2025,0.02623473317041743,0.0024336527303322076,0.5238654229476989
010116,01,2025,0.0002744142731451174,1.5890164404800258,0.005479611640424584
010117,01,2025,0.0017079162028646258,0.1651428823220834,0.03410433939468456
010118,01,2025,0.02623473317041743,0.0,0.5238654229476989
010119,01,2025,0.019285968042732377,0.01362746989233254,0.3851097604093164
010120,01,2025,0.02623473317041743,0.005004242379614648,0.5238654229476989
010121,01,2025,0.005809445871738806,0.04595929860162191,0.11600528958769618
010201,01,2025,0.007086687988715769,0.037522712023155234,0.14150976022478423
010202,01,2025,0.0030449122029872207,0.08951353430080022,0.060801998964303904
010203,01,2025,0.02623473317041743,0.0034385317328566077,0.5238654229476989
010204,01,2025,0.0017770522646239476,0.15823506827306266,0.0354848753429337
010205,01,2025,0.009254412216384088,0.028609147827271617,0.18479572627539181
010206,01,2025,0.005330831654435397,0.050187553992638224,0.10644813351724078
010301,01,2025,0.0015882464233983558,0.1786386174263714,0.03171472638711465
010302,01,2025,0.0003223799503759773,1.2473259340145197,0.006437409062120923
010303,01,2025,0.006251617516216768,0.0426403327160571,0.12483474609656303
010304,01,2025,0.0005775444755450652,0.571436090986858,0.011532634198608411
010305,01,2025,0.002363371431209079,0.11678518690504469,0.04719272600755607
010306,01,2025,0.0018835335762515352,0.14865632233796297,0.037611135861363984
010307,01,2025,0.005523490618817152,0.04839533600359332,0.11029522314475493
010308,01,2025,0.0007492023835415838,0.4168407712663923,0.0149603665102263
010309,01,2025,0.003430607236655579,0.07906263247272613,0.06850370839771022
010310,01,2025,0.008453181150169561,0.03136295813935201,0.16879643066011912
010311,01,2025,0.015667793118246207,0.016800774468315974,0.3128606269875204
010312,01,2025,0.002880566040806368,0.09485568722119628,0.05752027045571036
010401,01,2025,0.00684411807713265,0.03887812436209282,0.1366660292632219
010402,01,2025,0.02623473317041743,0.0016789709194557113,0.5238654229476989
010403,01,2025,0.02623473317041743,0.00016468527259871202,0.5238654229476989
010501,01,2025,0.02623473317041743,0.0018887060831128065,0.5238654229476989
010502,01,2025,0.00022105405264684426,2.2573272112806437,0.004414093866779717
010503,01,2025,0.02623473317041743,0.0,0.5238654229476989
010504,01,2025,0.01732145281763591,0.015184709984601802,0.345881551279184
010505,01,2025,0.006793073152398203,0.03917591414562096,0.13564674422183648
010506,01,2025,0.02623473317041743,0.0057554543018341064,0.5238654229476989
010507,01,2025,0.0005021912453047076,0.6817089107865137,0.010027951396084134
010508,01,2025,0.02623473317041743,0.0035636200468956267,0.5238654229476989
010509,01,2025,0.02623473317041743,0.005721064826387065,0.5238654229476989
010510,01,2025,0.016869280072839766,0.015594886205986681,0.3368523888836938
010511,01,2025,0.010435003857807403,0.02533174367342594,0.20837024237758484
010512,01,2025,0.0030683367747179687,0.08880068365493812,0.06126974998343507
010513,01,2025,0.020411015561847462,0.012871515912974278,0.4075751497315172
010514,01,2025,0.008409710188722061,0.031527606877209347,0.16792838548288375
010515,01,2025,0.02623473317041743,0.008920241535472696,0.5238654229476989
010516,01,2025,0.02623473317041743,0.004871100187301636,0.5238654229476989
010517,01,2025,0.02623473317041743,0.0039784899398462095,0.5238654229476989
010518,01,2025,0.007490530905507776,0.03546427697250523,0.14957385369337087
010519,01,2025,0.01989962336808172,0.01320447013491676,0.3973634701943557
010520,01,2025,0.02260011072568727,0.011617540515251108,0.4512878590024023
010521,01,2025,0.02623473317041743,0.0,0.5238654229476989
010522,01,2025,0.0005309760051347076,0.6349807323648772,0.010602736749715805
010523,01,2025,0.02623473317041743,0.007795224477956583,0.5238654229476989
010601,01,2025,0.02623473317041743,0.0,0.5238654229476989
010602,01,2025,0.003720063415259539,0.07269266417693031,0.07428368269530188
010603,01,2025,0.02623473317041743,0.003345578694515091,0.5238654229476989
010604,01,2025,0.00789912704987895,0.033599355833126544,0.15773286147116558
010605,01,2025,0.00956180519205394,0.027676810944651874,0.19093386955912153
010606,01,2025,0.02623473317041743,0.0,0.5238654229476989
010607,01,2025,0.00635062057084372,0.04196183658340602,0.1268116778514377
010608,01,2025,0.004601287763025845,0.0583730527492756,0.09188031547428357
010609,01,2025,0.00515411094320459,0.05195230892048546,0.10291930516853334
010610,01,2025,0.02623473317041743,0.0,0.5238654229476989
010611,01,2025,0.0066363670451942,0.040119300378817266,0.13251757532213213
010612,01,2025,0.0005317411703627785,0.6338244783766547,0.01061801586855511
010701,01,2025,0.0021343752770583554,0.13009846810704967,0.04262004114858304
010702,01,2025,0.005942477745644413,0.044907666156456014,0.11866172212834311
