year,department_code,actual,panel_nowcast,panel_error,ar1_nowcast,ar1_error,rw_nowcast,rw_error
2012,01,0.44478453760704334,0.3884779799212022,-0.05630655768584114,0.4044413557813513,-0.04034318182569202,0.44560867502227774,0.000824137415234405
2012,02,0.27433096103806587,0.25372517570567693,-0.020605785332388937,0.2559133113014278,-0.018417649736638064,0.2720823275134897,-0.00224863352457616
2012,03,0.5551031629935422,0.48922782053340896,-0.06587534246013327,0.541618835012798,-0.013484327980744282,0.5697382050433459,0.014635042049803704
2012,04,0.1190218250830302,0.08167064811768274,-0.03735117696534747,0.11697883079079135,-0.0020429942922388505,0.11498256991311336,-0.00403925516991685
2012,05,0.5262304727893435,0.4597552872046402,-0.06647518558470333,0.5148699690345023,-0.011360503754841211,0.5272376528539315,0.001007180064587998
2012,06,0.5416541547749295,0.5239943191890191,-0.017659835585910444,0.5453408108128106,0.0036866560378810975,0.5581795694831717,0.016525414708242203
2012,08,0.21917199551229122,0.26141582436736804,0.042243828855076826,0.24035698679480777,0.021184991282516552,0.296540737718246,0.0773687422059548
2012,09,0.4946823829297037,0.49772323367651744,0.0030408507468137613,0.4180945580758131,-0.0765878248538906,0.5463650245380237,0.051682641608320035
2012,10,0.44915916571136993,0.5072142592680283,0.05805509355665839,0.5193157463122469,0.07015658060087693,0.541254885546965,0.09209571983559506
2012,11,0.08079177695568279,0.052774994473131734,-0.02801678248255106,0.09251345197294335,0.011721675017260555,0.1090953902255131,0.028303613269830302
2012,12,0.23730596448879382,0.21482803252641852,-0.022477931962375297,0.202028831878106,-0.03527713261068782,0.24111364778476813,0.0038076832959743068
2012,13,0.30633825284542515,0.2786782243066691,-0.027660028538756043,0.2876708420333828,-0.018667410812042373,0.29369752194286636,-0.012640730902558794
2012,14,0.2524374445207768,0.2665905649530359,0.014153120432259081,0.28266921793711675,0.030231773416339924,0.3040767197135158,0.051639275192738976
2012,15,0.1444138489006578,0.12414996403557632,-0.02026388486508149,0.1389944995753992,-0.005419349325258616,0.15802595891879861,0.013612110018140805
2012,16,0.41775361166546077,0.46494350746819163,0.047189895802730863,0.46289527068687236,0.045141659021411595,0.48134151393082913,0.06358790226536837
2012,17,0.023563858367661603,0.023916954354909436,0.0003530959872478333,0.024721972016718545,0.0011581136490569424,0.041464802471142904,0.017900944103481302
2012,18,0.0955576591500727,0.050224552637809276,-0.04533310651226342,0.09387317027588409,-0.0016844888741886083,0.10861945738871895,0.013061798238646255
2012,19,0.41878080841275056,0.3991324258093559,-0.019648382603394687,0.3817692578685422,-0.03701155054420835,0.4070194048809492,-0.011761403531801384
2012,20,0.3487446833159559,0.3176635341299499,-0.031081149186005963,0.30949850675224283,-0.03924617656371304,0.351810334036694,0.003065650720738111
2012,21,0.3590291550000979,0.32875261301965797,-0.03027654198043994,0.341476152238413,-0.01755300276168492,0.39149715055323325,0.03246799555313534
2012,22,0.29647394300096813,0.26561968598688956,-0.030854257014078568,0.2718354406482661,-0.02463850235270204,0.31027907804552024,0.013805135044552108
2012,23,0.11693369679381713,0.15690538922183483,0.03997169242801771,0.14967140695765746,0.03273771016384033,0.1660685909995526,0.04913489420573547
2012,24,0.1169675532217233,0.1192033372717455,0.0022357840500221993,0.17418124911518146,0.057213695893458164,0.13939935057724,0.022431797355516717
2012,25,0.13236105103252035,0.10243341088961,-0.029927640142910356,0.03921780944627638,-0.09314324158624397,0.1353168434240795,0.002955792391559159
2013,01,0.47312838166818677,0.41190746470725326,-0.061220916960933514,0.4219879733989002,-0.051140408269286564,0.44478453760704334,-0.02834384406114343
2013,02,0.2350491520492144,0.2518211055878126,0.016771953538598228,0.2625429737284962,0.027493821679281827,0.27433096103806587,0.039281808988851474
2013,03,0.4275895056460568,0.52141984666909,0.09383034102303323,0.5360132596997107,0.1084237540536539,0.5551031629935422,0.12751365734748543
2013,04,0.09051855056010456,0.0884443334958008,-0.00207421706430376,0.12017399517978675,0.029655444619682184,0.1190218250830302,0.028503274522925642
2013,05,0.5192099582509839,0.5325924889656369,0.013382530714653007,0.5172279658392221,-0.0019819924117617793,0.5262304727893435,0.007020514538359612
2013,06,0.5289397538829398,0.5251735942938763,-0.003766159589063456,0.5302236090702377,0.0012838551872978998,0.5416541547749295,0.012714400891989719
2013,08,0.18779539701432332,0.18972815511177954,0.0019327580974562164,0.14497726803363384,-0.042818128980689485,0.21917199551229122,0.031376598497967895
2013,09,0.46555983753358066,0.47231453465606044,0.00675469712247978,0.40245911274886537,-0.06310072478471529,0.4946823829297037,0.029122545396123023
2013,10,0.4010717027237586,0.4123389871947056,0.011267284470946992,0.41122703221655105,0.010155329492792464,0.44915916571136993,0.04808746298761135
2013,11,0.04656565970173968,0.03271818831483984,-0.013847471386899846,0.06608693540653321,0.019521275704793527,0.08079177695568279,0.03422611725394311
2013,12,0.19515629828125078,0.18888418807705,-0.006272110204200765,0.21135194839688057,0.01619565011562979,0.23730596448879382,0.04214966620754304
2013,13,0.29456264492580236,0.2722233029553549,-0.022339341970447457,0.30264051165107086,0.008077866725268501,0.30633825284542515,0.011775607919622788
2013,14,0.24745256626519482,0.23895345313693656,-0.008499113128258268,0.22166651433964807,-0.025786051925546755,0.2524374445207768,0.004984878255581998
2013,15,0.13144553056070768,0.10533085250255947,-0.02611467805814821,0.12929492593628242,-0.002150604624425262,0.1444138489006578,0.01296831833995013
2013,16,0.37404809356352375,0.41792688054683236,0.043878786983308604,0.3906778002504895,0.01662970668696573,0.41775361166546077,0.04370551810193701
